exampleSentence,partOfSpeech,sentimentTag,sentimentStrength,tokens
"Pada mase itu, semua orang terkejut.",noun,neutral,0.0,"['pada', 'mase', 'itu', ',', 'semua', 'orang', 'terkejut', '.']"
Pihak polis sedang menyiasat kes Crime itu.,noun,negative,-0.8,"['pihak', 'polis', 'sedang', 'menyiasat', 'kes', 'crime', 'itu', '.']"
Anggota badan manusia terdiri daripada pelbagai organ.,noun,neutral,0.0,"['anggota', 'badan', 'manusia', 'terdiri', 'daripada', 'pelbagai', 'organ', '.']"
Dia tidak dengar apa yang saya katakan.,verb,neutral,0.0,"['dia', 'tidak', 'dengar', 'apa', 'yang', 'saya', 'katakan', '.']"
Pemandu itu langgar tiang lampu.,verb,negative,-0.6,"['pemandu', 'itu', 'langgar', 'tiang', 'lampu', '.']"
Kanak-kanak itu main bola di padang.,verb,neutral,0.0,"['kanak', '-', 'kanak', 'itu', 'main', 'bola', 'di', 'padang', '.']"
Dia Kene denda kerana melanggar peraturan.,verb,neutral,0.0,"['dia', 'kene', 'denda', 'kerana', 'melanggar', 'peraturan', '.']"
Saya 1.Gak tahu apa-apa.,adverb,neutral,-0.1,"['saya', '1', '.', 'gak', 'tahu', 'apa', '-', 'apa', '.']"
Buku itu dipinjam oleh pelajar lain.,verb,neutral,0.0,"['buku', 'itu', 'dipinjam', 'oleh', 'pelajar', 'lain', '.']"
Kebanyakan penduduk kampung terlibat dalam aktiviti itu.,adverb,neutral,-0.1,"['kebanyakan', 'penduduk', 'kampung', 'terlibat', 'dalam', 'aktiviti', 'itu', '.']"
Sebenarnya.... dia tidak bersalah.,adverb,neutral,0.0,"['sebenarnya', '.', 'dia', 'tidak', 'bersalah', '.']"
Tahniah atas kejayaan anda dalam peperiksaan!,interjection,positive,0.8,"['tahniah', 'atas', 'kejayaan', 'anda', 'dalam', 'peperiksaan', '!']"
"Kalau tak belajar, habislah kamu nanti!",interjection,negative,-0.5,"['kalau', 'tak', 'belajar', ',', 'habislah', 'kamu', 'nanti', '!']"
"Hei, Mat, mari sini sebentar!",noun,neutral,0.0,"['hei', ',', 'mat', ',', 'mari', 'sini', 'sebentar', '!']"
Tolong tarik tali ini.,verb,neutral,0.0,"['tolong', 'tarik', 'tali', 'ini', '.']"
Dia memberikan alasan yang munasabah untuk ketidakhadirannya.,noun,neutral,-0.2,"['dia', 'memberikan', 'alasan', 'yang', 'munasabah', 'untuk', 'ketidakhadirannya', '.']"
Haishhh. Kenapa boleh jadi begini?,interjection,negative,-0.4,"['haishhh', '.', 'kenapa', 'boleh', 'jadi', 'begini', '?']"
"Saya rasa, kita patut pergi sekarang.","verb, noun",neutral,0.0,"['saya', 'rasa', ',', 'kita', 'patut', 'pergi', 'sekarang', '.']"
Sila berikan perhatian kepada pengumuman ini.,noun,positive,0.5,"['sila', 'berikan', 'perhatian', 'kepada', 'pengumuman', 'ini', '.']"
"""Terima kasih!"" ""Sama2.""","adverb, adjective",neutral,0.0,"['""', 'terima', 'kasih', '!', '""', '""', 'sama2', '.', '""']"
Kita perlu MEMBANTU.. golongan yang memerlukan.,verb,positive,0.7,"['kita', 'perlu', 'membantu', '.', 'golongan', 'yang', 'memerlukan', '.']"
Cermin tingkap itu pecah akibat balingan batu.,"verb, adjective",negative,-0.6,"['cermin', 'tingkap', 'itu', 'pecah', 'akibat', 'balingan', 'batu', '.']"
Pendidikan adalah aspek yang sangat penting dalam kehidupan.,adjective,positive,0.7,"['pendidikan', 'adalah', 'aspek', 'yang', 'sangat', 'penting', 'dalam', 'kehidupan', '.']"
Awak kan...langgar kereta dia?,verb,negative,-0.6,"['awak', 'kan', '.', 'langgar', 'kereta', 'dia', '?']"
Lelaki yang berbaju merah itu abang saya.,"pronoun, conjunction",neutral,0.0,"['lelaki', 'yang', 'berbaju', 'merah', 'itu', 'abang', 'saya', '.']"
Kes Begal semakin berleluasa di kawasan itu.,noun,negative,-0.8,"['kes', 'begal', 'semakin', 'berleluasa', 'di', 'kawasan', 'itu', '.']"
Semoga kita semua hidup aman dan sejahtera.,adjective,positive,0.8,"['semoga', 'kita', 'semua', 'hidup', 'aman', 'dan', 'sejahtera', '.']"
Hasil kerja kerasnya membuahkan kejayaan.,"noun, verb",neutral,0.2,"['hasil', 'kerja', 'kerasnya', 'membuahkan', 'kejayaan', '.']"
"Uii, besarnya ikan ni!",interjection,neutral,0.1,"['uii', ',', 'besarnya', 'ikan', 'ni', '!']"
Dia akan kembali ke rumah esok.,"verb, adverb",neutral,0.0,"['dia', 'akan', 'kembali', 'ke', 'rumah', 'esok', '.']"
"Walaupun hujan, dia tetap pergi bekerja.",conjunction,neutral,0.0,"['walaupun', 'hujan', ',', 'dia', 'tetap', 'pergi', 'bekerja', '.']"
Dia menunggang moto barunya.,noun,neutral,0.0,"['dia', 'menunggang', 'moto', 'barunya', '.']"
Dia berlari dengan sangat cepat.,"adjective, adverb",neutral,0.1,"['dia', 'berlari', 'dengan', 'sangat', 'cepat', '.']"
Apa yang awak pegang tu?,"demonstrative pronoun, particle",neutral,0.0,"['apa', 'yang', 'awak', 'pegang', 'tu', '?']"
Penyamun itu berjaya ditangkap polis.,noun,negative,-0.8,"['penyamun', 'itu', 'berjaya', 'ditangkap', 'polis', '.']"
Anggota polis sedang membuat rondaan di kawasan kejiranan.,noun,neutral,0.0,"['anggota', 'polis', 'sedang', 'membuat', 'rondaan', 'di', 'kawasan', 'kejiranan', '.']"
Pehal kau tak datang semalam?,interrogative pronoun,neutral,0.0,"['pehal', 'kau', 'tak', 'datang', 'semalam', '?']"
Dia selalu perasan bagus walhal tiada apa-apa kebolehan.,adjective,negative,-0.6,"['dia', 'selalu', 'perasan', 'bagus', 'walhal', 'tiada', 'apa', '-', 'apa', 'kebolehan', '.']"
Pelajar itu mendapat keputusan cemerlang dalam peperiksaan.,verb,neutral,0.0,"['pelajar', 'itu', 'mendapat', 'keputusan', 'cemerlang', 'dalam', 'peperiksaan', '.']"
Dia memang pandai dalam mata pelajaran matematik.,adjective,positive,0.7,"['dia', 'memang', 'pandai', 'dalam', 'mata', 'pelajaran', 'matematik', '.']"
Makanan yang disajikan di restoran itu semuanya halal.,adjective,positive,0.8,"['makanan', 'yang', 'disajikan', 'di', 'restoran', 'itu', 'semuanya', 'halal', '.']"
Dia pasti akan datang ke majlis itu.,adjective,neutral,0.5,"['dia', 'pasti', 'akan', 'datang', 'ke', 'majlis', 'itu', '.']"
The weather was good yesterday.,verb,neutral,0.0,"['the', 'weather', 'was', 'good', 'yesterday', '.']"
Kita perlu bekerjasama untuk menyiapkan tugasan ini.,pronoun,neutral,0.0,"['kita', 'perlu', 'bekerjasama', 'untuk', 'menyiapkan', 'tugasan', 'ini', '.']"
Dia suka melihat pemandangan matahari terbenam.,verb,neutral,0.0,"['dia', 'suka', 'melihat', 'pemandangan', 'matahari', 'terbenam', '.']"
Dorang kata nak datang esok.,pronoun,neutral,0.0,"['dorang', 'kata', 'nak', 'datang', 'esok', '.']"
Polis sedang menyoal siasat saspek utama kes itu.,noun,negative,-0.5,"['polis', 'sedang', 'menyoal', 'siasat', 'saspek', 'utama', 'kes', 'itu', '.']"
Orang-orang kampung berkumpul untuk membincangkan masalah itu.,noun,neutral,0.0,"['orang', '-', 'orang', 'kampung', 'berkumpul', 'untuk', 'membincangkan', 'masalah', 'itu', '.']"
Kucing peliharaannya mati semalam.,verb,negative,-0.7,"['kucing', 'peliharaannya', 'mati', 'semalam', '.']"
Dia suka membaca dan menulis.,conjunction,neutral,0.0,"['dia', 'suka', 'membaca', 'dan', 'menulis', '.']"
Ini adalah produk non-halal.,prefix,neutral,0.0,"['ini', 'adalah', 'produk', 'non', '-', 'halal', '.']"
Awak boleh datang bila-bila masa.,auxiliary verb,neutral,0.0,"['awak', 'boleh', 'datang', 'bila', '-', 'bila', 'masa', '.']"
"Kalau hujan, kita tak jadi pergi.",conjunction,neutral,0.0,"['kalau', 'hujan', ',', 'kita', 'tak', 'jadi', 'pergi', '.']"
Kerja itu sudah siap.,adjective,neutral,0.0,"['kerja', 'itu', 'sudah', 'siap', '.']"
Pemandu itu disaman kerana memandu melebihi had laju.,verb,negative,-0.6,"['pemandu', 'itu', 'disaman', 'kerana', 'memandu', 'melebihi', 'had', 'laju', '.']"
Dia ketuk pintu beberapa kali tetapi tiada jawapan.,verb,neutral,0.0,"['dia', 'ketuk', 'pintu', 'beberapa', 'kali', 'tetapi', 'tiada', 'jawapan', '.']"
Ada banyak orang di pasar hari ini.,noun,neutral,0.0,"['ada', 'banyak', 'orang', 'di', 'pasar', 'hari', 'ini', '.']"
Syarikat itu menerapkan teknologi baharu dalam operasinya.,verb,neutral,0.0,"['syarikat', 'itu', 'menerapkan', 'teknologi', 'baharu', 'dalam', 'operasinya', '.']"
Kita digalakkan mengamalkan gaya hidup sihat.,verb,positive,0.5,"['kita', 'digalakkan', 'mengamalkan', 'gaya', 'hidup', 'sihat', '.']"
Lelaki itu didakwa kerana membunuh jirannya.,verb,negative,-0.9,"['lelaki', 'itu', 'didakwa', 'kerana', 'membunuh', 'jirannya', '.']"
Masalah tersebut telah diselesaikan.,adjective,neutral,0.0,"['masalah', 'tersebut', 'telah', 'diselesaikan', '.']"
Dia pergi ke pasar.,preposition,neutral,0.0,"['dia', 'pergi', 'ke', 'pasar', '.']"
Kereta itu tabrak pokok di tepi jalan.,verb,negative,-0.6,"['kereta', 'itu', 'tabrak', 'pokok', 'di', 'tepi', 'jalan', '.']"
Dia mengalih pandangannya ke arah lain.,verb,neutral,0.0,"['dia', 'mengalih', 'pandangannya', 'ke', 'arah', 'lain', '.']"
Ramai perempuan membeli-belah di pusat membeli-belah itu.,noun,neutral,0.0,"['ramai', 'perempuan', 'membeli', '-', 'belah', 'di', 'pusat', 'membeli', '-', 'belah', 'itu', '.']"
Apa yang dikatakannya itu benar belaka.,adjective,positive,0.7,"['apa', 'yang', 'dikatakannya', 'itu', 'benar', 'belaka', '.']"
Buku itu ada di dalam beg.,prepositional phrase,neutral,0.0,"['buku', 'itu', 'ada', 'di', 'dalam', 'beg', '.']"
Dia seorang yang kuat bekerja.,adjective,positive,0.6,"['dia', 'seorang', 'yang', 'kuat', 'bekerja', '.']"
Cuba selesaikan masalah ini.,verb,neutral,0.0,"['cuba', 'selesaikan', 'masalah', 'ini', '.']"
Buku ini sangat menarik.,demonstrative pronoun,neutral,0.0,"['buku', 'ini', 'sangat', 'menarik', '.']"
Setiap negara mempunyai sistem hukumnya sendiri.,noun,neutral,0.0,"['setiap', 'negara', 'mempunyai', 'sistem', 'hukumnya', 'sendiri', '.']"
Dia berasal dari kampung.,noun,neutral,0.0,"['dia', 'berasal', 'dari', 'kampung', '.']"
Dia sibuk menyiapkan laporan.,adjective,neutral,0.0,"['dia', 'sibuk', 'menyiapkan', 'laporan', '.']"
Sila pastikan pintu berkunci sebelum tidur.,preposition,neutral,0.0,"['sila', 'pastikan', 'pintu', 'berkunci', 'sebelum', 'tidur', '.']"
Kakinya patah akibat kemalangan itu.,adjective,negative,-0.5,"['kakinya', 'patah', 'akibat', 'kemalangan', 'itu', '.']"
Dia menulis dengan pensil.,preposition,neutral,0.0,"['dia', 'menulis', 'dengan', 'pensil', '.']"
This is really good.,adverb,neutral,0.0,"['this', 'is', 'really', 'good', '.']"
Dia suka mendengar lagu-lagu pop.,noun,neutral,0.0,"['dia', 'suka', 'mendengar', 'lagu', '-', 'lagu', 'pop', '.']"
Kami menonton filem di pawagam.,verb,neutral,0.0,"['kami', 'menonton', 'filem', 'di', 'pawagam', '.']"
Sila duduk di kerusi yang disediakan.,verb,neutral,0.0,"['sila', 'duduk', 'di', 'kerusi', 'yang', 'disediakan', '.']"
Telefon bimbitnya ada calar sedikit.,noun,negative,-0.4,"['telefon', 'bimbitnya', 'ada', 'calar', 'sedikit', '.']"
The police caught the criminals.,noun,negative,-0.8,"['the', 'police', 'caught', 'the', 'criminals', '.']"
Dia memerlukan sedikit masa untuk berfikir.,noun,neutral,0.0,"['dia', 'memerlukan', 'sedikit', 'masa', 'untuk', 'berfikir', '.']"
Jangan buat bising di perpustakaan.,adjective,negative,-0.5,"['jangan', 'buat', 'bising', 'di', 'perpustakaan', '.']"
Pelajar itu sangat bijak dalam menyelesaikan masalah.,adjective,positive,0.7,"['pelajar', 'itu', 'sangat', 'bijak', 'dalam', 'menyelesaikan', 'masalah', '.']"
Sampaikan salam saya kepada keluarga awak.,preposition,neutral,0.0,"['sampaikan', 'salam', 'saya', 'kepada', 'keluarga', 'awak', '.']"
Esok kt pergi sana.,pronoun,neutral,0.0,"['esok', 'kt', 'pergi', 'sana', '.']"
Dia membeli dua batang pensel.,numeral,neutral,0.0,"['dia', 'membeli', 'dua', 'batang', 'pensel', '.']"
"""Yaa, saya faham,"" jawabnya.",interjection,neutral,0.0,"['""', 'yaa', ',', 'saya', 'faham', ',', '""', 'jawabnya', '.']"
Dia drove kereta itu dengan laju.,verb,neutral,0.0,"['dia', 'drove', 'kereta', 'itu', 'dengan', 'laju', '.']"
Anak anjing itu kejar rama-rama di taman.,verb,neutral,0.0,"['anak', 'anjing', 'itu', 'kejar', 'rama', '-', 'rama', 'di', 'taman', '.']"
Kampung saya terletak di daerah Melaka Tengah.,noun,neutral,0.0,"['kampung', 'saya', 'terletak', 'di', 'daerah', 'melaka', 'tengah', '.']"
Saya just nak tahu.,adverb,neutral,0.0,"['saya', 'just', 'nak', 'tahu', '.']"
Cikgu datang lewat hari ini.,noun,neutral,0.0,"['cikgu', 'datang', 'lewat', 'hari', 'ini', '.']"
"KLu hujan, kita batalkan perjumpaan.",conjunction,neutral,0.0,"['klu', 'hujan', ',', 'kita', 'batalkan', 'perjumpaan', '.']"
Pokok bunga itu sudah mati kerana tiada air.,verb,negative,-0.8,"['pokok', 'bunga', 'itu', 'sudah', 'mati', 'kerana', 'tiada', 'air', '.']"
Penjenayah itu cuba begal motosikalnya.,verb,negative,-0.9,"['penjenayah', 'itu', 'cuba', 'begal', 'motosikalnya', '.']"
"Wahai rakyat Malaysia, marilah bersatu padu.",interjection,neutral,0.0,"['wahai', 'rakyat', 'malaysia', ',', 'marilah', 'bersatu', 'padu', '.']"
Dia suka makan nasi goreng dan mi sup.,conjunction,neutral,0.0,"['dia', 'suka', 'makan', 'nasi', 'goreng', 'dan', 'mi', 'sup', '.']"
Polis berjaya menangkapnya selepas buruan panjang.,verb,neutral,0.0,"['polis', 'berjaya', 'menangkapnya', 'selepas', 'buruan', 'panjang', '.']"
Pergi la cepat.,particle,neutral,0.0,"['pergi', 'la', 'cepat', '.']"
Dia smpai rumah lewat malam.,verb,neutral,0.0,"['dia', 'smpai', 'rumah', 'lewat', 'malam', '.']"
Dia tdak suka makan sayur.,adverb,neutral,0.0,"['dia', 'tdak', 'suka', 'makan', 'sayur', '.']"
Semua rakyat perlu patuh undang2.,noun,neutral,0.0,"['semua', 'rakyat', 'perlu', 'patuh', 'undang2', '.']"
Mereka pergi ke sekolah setiap hari.,verb,neutral,0.0,"['mereka', 'pergi', 'ke', 'sekolah', 'setiap', 'hari', '.']"
Pasukan itu mempunyai defense yang kuat.,noun,neutral,0.0,"['pasukan', 'itu', 'mempunyai', 'defense', 'yang', 'kuat', '.']"
Dia berasa puas hati dengan pencapaiannya.,adjective,positive,0.7,"['dia', 'berasa', 'puas', 'hati', 'dengan', 'pencapaiannya', '.']"
Dia kena denda kerana memandu laju.,verb,neutral,0.0,"['dia', 'kena', 'denda', 'kerana', 'memandu', 'laju', '.']"
Betapa cantiknya pemandangan di sana!,adverb,neutral,0.0,"['betapa', 'cantiknya', 'pemandangan', 'di', 'sana', '!']"
Rumah mereka ada pgar tinggi.,noun,neutral,0.0,"['rumah', 'mereka', 'ada', 'pgar', 'tinggi', '.']"
"Makan dulu, astu baru tidur.",adverb,neutral,0.0,"['makan', 'dulu', ',', 'astu', 'baru', 'tidur', '.']"
Dia bertanggungjawab untuk keseluruhan projek.,noun,neutral,0.0,"['dia', 'bertanggungjawab', 'untuk', 'keseluruhan', 'projek', '.']"
Malaysia import banyak barangan elektronik.,verb,neutral,0.0,"['malaysia', 'import', 'banyak', 'barangan', 'elektronik', '.']"
Mungkin dia akan datang esok.,adverb,neutral,0.0,"['mungkin', 'dia', 'akan', 'datang', 'esok', '.']"
"Kalo rajin, pasti berjaya.",conjunction,neutral,0.0,"['kalo', 'rajin', ',', 'pasti', 'berjaya', '.']"
Tengok tu..cctv ada rakam kejadian.,"pronoun, noun",neutral,0.0,"['tengok', 'tu', '.', 'cctv', 'ada', 'rakam', 'kejadian', '.']"
Kami menghadapi masalah kewangan yang serius.,noun,negative,-0.7,"['kami', 'menghadapi', 'masalah', 'kewangan', 'yang', 'serius', '.']"
Pimpinan baharu itu membawa banyak perubahan.,noun,neutral,0.0,"['pimpinan', 'baharu', 'itu', 'membawa', 'banyak', 'perubahan', '.']"
Warga negara bertanggungjawab menjaga keamanan.,noun,neutral,0.0,"['warga', 'negara', 'bertanggungjawab', 'menjaga', 'keamanan', '.']"
"""Musibat! Kereta aku kemek!"" jeritnya.",interjection,negative,-0.9,"['""', 'musibat', '!', 'kereta', 'aku', 'kemek', '!', '""', 'jeritnya', '.']"
Pompuan itu memakai baju merah.,noun,neutral,0.0,"['pompuan', 'itu', 'memakai', 'baju', 'merah', '.']"
Kata-katanya memang betol.,adjective,positive,0.6,"['kata', '-', 'katanya', 'memang', 'betol', '.']"
Penjenayah itu cuba menetak mangsanya.,verb,negative,-0.8,"['penjenayah', 'itu', 'cuba', 'menetak', 'mangsanya', '.']"
Dia datang lewat kot.,particle,neutral,0.0,"['dia', 'datang', 'lewat', 'kot', '.']"
Pasukan itu kalah dalam perlawanan semalam.,verb,negative,-0.7,"['pasukan', 'itu', 'kalah', 'dalam', 'perlawanan', 'semalam', '.']"
Mereka keluar dari bangunan itu.,verb,neutral,0.0,"['mereka', 'keluar', 'dari', 'bangunan', 'itu', '.']"
Mke dia nampak letih.,noun,neutral,0.0,"['mke', 'dia', 'nampak', 'letih', '.']"
Pemandu itu tekan hon.. bila jalan sesak.,noun,neutral,0.0,"['pemandu', 'itu', 'tekan', 'hon', '.', 'bila', 'jalan', 'sesak', '.']"
Saya bangga menjadi rakyat Malaysia.,noun,neutral,0.0,"['saya', 'bangga', 'menjadi', 'rakyat', 'malaysia', '.']"
Dia dijatuhi hukuman masuk pjra.,noun,negative,-0.6,"['dia', 'dijatuhi', 'hukuman', 'masuk', 'pjra', '.']"
Kucing itu bersembunyi didalem kotak.,preposition,neutral,0.0,"['kucing', 'itu', 'bersembunyi', 'didalem', 'kotak', '.']"
"Akak..tu, dia nak cakap dengan awak.","noun, pronoun",neutral,0.0,"['akak', '.', 'tu', ',', 'dia', 'nak', 'cakap', 'dengan', 'awak', '.']"
Mangsa kemalangan itu segera dikejarkan ke hospital.,noun,negative,-0.7,"['mangsa', 'kemalangan', 'itu', 'segera', 'dikejarkan', 'ke', 'hospital', '.']"
Ayah saya baru membeli sebuah Lexus baharu.,noun,neutral,0.0,"['ayah', 'saya', 'baru', 'membeli', 'sebuah', 'lexus', 'baharu', '.']"
Teryata dia yang bersalah dalam hal itu.,adverb,neutral,0.0,"['teryata', 'dia', 'yang', 'bersalah', 'dalam', 'hal', 'itu', '.']"
Saya tidak rasa lapar.,noun/verb,neutral,0.0,"['saya', 'tidak', 'rasa', 'lapar', '.']"
Beliau seorang tokoh yang dihormati.,pronoun,neutral,0.1,"['beliau', 'seorang', 'tokoh', 'yang', 'dihormati', '.']"
Gempa bumi itu musnahkan banyak bangunan.,verb,negative,-0.8,"['gempa', 'bumi', 'itu', 'musnahkan', 'banyak', 'bangunan', '.']"
Pelaku jenayah itu telah ditangkap.,noun,neutral,0.0,"['pelaku', 'jenayah', 'itu', 'telah', 'ditangkap', '.']"
Dia memandu mobil baru itu.,noun,neutral,0.0,"['dia', 'memandu', 'mobil', 'baru', 'itu', '.']"
Dia gantung baju itu di ampaian.,verb,neutral,0.0,"['dia', 'gantung', 'baju', 'itu', 'di', 'ampaian', '.']"
Lama2 dia akan faham juga.,adverb,neutral,0.0,"['lama2', 'dia', 'akan', 'faham', 'juga', '.']"
Cuba imagine situasi itu.,verb,neutral,0.0,"['cuba', 'imagine', 'situasi', 'itu', '.']"
Kumpulan muzik itu masih amatir.,adjective/noun,neutral,-0.2,"['kumpulan', 'muzik', 'itu', 'masih', 'amatir', '.']"
Jangan jadi orang bangang.,adjective,negative,-0.9,"['jangan', 'jadi', 'orang', 'bangang', '.']"
Dia hentam meja itu kerana marah.,verb,negative,-0.7,"['dia', 'hentam', 'meja', 'itu', 'kerana', 'marah', '.']"
Dia naik kete baru.,noun,neutral,0.0,"['dia', 'naik', 'kete', 'baru', '.']"
Dia cedera akibat kemalangan itu.,adjective/verb,negative,-0.6,"['dia', 'cedera', 'akibat', 'kemalangan', 'itu', '.']"
"Dia dah makan, a?",interjection/filler,neutral,0.0,"['dia', 'dah', 'makan', ',', 'a', '?']"
Kita stay sini malam ni.,verb,neutral,0.0,"['kita', 'stay', 'sini', 'malam', 'ni', '.']"
Pihak berkuasa hancurkan sarang penjenayah.,verb,negative,-0.8,"['pihak', 'berkuasa', 'hancurkan', 'sarang', 'penjenayah', '.']"
Dia fasih berbahasa Melayu.,noun/adjective,neutral,0.0,"['dia', 'fasih', 'berbahasa', 'melayu', '.']"
Mari kita tonton movie baru.,noun,neutral,0.0,"['mari', 'kita', 'tonton', 'movie', 'baru', '.']"
"Semoga kita semua sihat, aammmiiiinnn.",interjection,positive,0.7,"['semoga', 'kita', 'semua', 'sihat', ',', 'aammmiiiinnn', '.']"
"Dia makan, lpstu tidur.",adverb,neutral,0.0,"['dia', 'makan', ',', 'lpstu', 'tidur', '.']"
Berapa kali awak pergi ke sana?,noun/adverb,neutral,0.0,"['berapa', 'kali', 'awak', 'pergi', 'ke', 'sana', '?']"
Dia hanya seorang pelajar.,adverb,neutral,0.0,"['dia', 'hanya', 'seorang', 'pelajar', '.']"
Saya xtau nak buat apa.,verb,neutral,0.0,"['saya', 'xtau', 'nak', 'buat', 'apa', '.']"
Cerita awak memang kelakar 😂😂😂🤣🤣🤣.,interjection/emoji,positive,0.9,"['cerita', 'awak', 'memang', 'kelakar', 'face', 'with', 'tears', 'of', 'joyface', 'with', 'tears', 'of', 'joyface', 'with', 'tears', 'of', 'joyrolling', 'on', 'the', 'floor', 'laughingrolling', 'on', 'the', 'floor', 'laughingrolling', 'on', 'the', 'floor', 'laughing', '.']"
Kereta itu sangat laju.,noun,neutral,0.0,"['kereta', 'itu', 'sangat', 'laju', '.']"
Dia cuba mempertahan haknya.,verb,positive,0.5,"['dia', 'cuba', 'mempertahan', 'haknya', '.']"
"Saya ,nk pergi sekarang.",verb,neutral,0.0,"['saya', ',', 'nk', 'pergi', 'sekarang', '.']"
Dia ketuk pintu beberapa kali.,verb,neutral,0.0,"['dia', 'ketuk', 'pintu', 'beberapa', 'kali', '.']"
Dia ptut datang awal.,auxiliary verb,neutral,0.0,"['dia', 'ptut', 'datang', 'awal', '.']"
Cantik sungguh bunga tu🌹.,demonstrative pronoun,positive,0.3,"['cantik', 'sungguh', 'bunga', 'turose', '.']"
Hasil kerja kerasnya membuahkan kejayaan.,noun/verb,neutral,0.1,"['hasil', 'kerja', 'kerasnya', 'membuahkan', 'kejayaan', '.']"
Cuma ini sahaja yang saya ada.,adverb,neutral,0.0,"['cuma', 'ini', 'sahaja', 'yang', 'saya', 'ada', '.']"
Dia baru dapat lesen memandu.,noun,neutral,0.0,"['dia', 'baru', 'dapat', 'lesen', 'memandu', '.']"
Dorg dah sampai ke?,pronoun,neutral,0.0,"['dorg', 'dah', 'sampai', 'ke', '?']"
Jangan buat kerja bodoh.,adjective,negative,-0.8,"['jangan', 'buat', 'kerja', 'bodoh', '.']"
Dia guna pisau untuk potong buah.,verb,neutral,0.0,"['dia', 'guna', 'pisau', 'untuk', 'potong', 'buah', '.']"
Dia makan lagi.,adverb,neutral,0.0,"['dia', 'makan', 'lagi', '.']"
Saya tak ada pit nak beli tu.,noun,neutral,0.0,"['saya', 'tak', 'ada', 'pit', 'nak', 'beli', 'tu', '.']"
Semoga kita dijauhknla dari bencana.,verb,neutral,0.0,"['semoga', 'kita', 'dijauhknla', 'dari', 'bencana', '.']"
Dia pn nak ikut.,particle,neutral,0.0,"['dia', 'pn', 'nak', 'ikut', '.']"
Barang nye dah hilang.,pronoun/suffix,neutral,0.0,"['barang', 'nye', 'dah', 'hilang', '.']"
Keknya dia tak datang hari ni.,adverb/conjunction,neutral,0.0,"['keknya', 'dia', 'tak', 'datang', 'hari', 'ni', '.']"
Dia akan pergi esok.,auxiliary verb,neutral,0.0,"['dia', 'akan', 'pergi', 'esok', '.']"
Dia cuba bunuh diri.,verb,negative,-0.9,"['dia', 'cuba', 'bunuh', 'diri', '.']"
"Dia sakit, so tak dapat datang.",conjunction/adverb,neutral,0.0,"['dia', 'sakit', ',', 'so', 'tak', 'dapat', 'datang', '.']"
Awak nampak apa dalam cermin?😅🤣,noun,positive,0.4,"['awak', 'nampak', 'apa', 'dalam', 'cermin', '?', 'grinning', 'face', 'with', 'sweatrolling', 'on', 'the', 'floor', 'laughing']"
Hidup MalaysiaKu!,noun,positive,0.8,"['hidup', 'malaysiaku', '!']"
Undang2 negara kita ketat.,noun,neutral,0.0,"['undang2', 'negara', 'kita', 'ketat', '.']"
Pihak polis akan ambil tindakan.,noun,neutral,0.0,"['pihak', 'polis', 'akan', 'ambil', 'tindakan', '.']"
Dia sedar akan kesilapannya.,verb/adjective,neutral,0.2,"['dia', 'sedar', 'akan', 'kesilapannya', '.']"
Penjenayah itu melarikan diri.,noun,negative,-0.9,"['penjenayah', 'itu', 'melarikan', 'diri', '.']"
Dia cedera akibat kemalangan itu.,adjective/verb,negative,-0.6,"['dia', 'cedera', 'akibat', 'kemalangan', 'itu', '.']"
Dia adalah mangsa penipuan.,noun,negative,-0.7,"['dia', 'adalah', 'mangsa', 'penipuan', '.']"
Pencuri itu ditangkap polis.,noun,negative,-0.8,"['pencuri', 'itu', 'ditangkap', 'polis', '.']"
Perompak bank itu bersenjata.,noun,negative,-0.9,"['perompak', 'bank', 'itu', 'bersenjata', '.']"
Perogol itu dijatuhi hukuman berat.,noun,negative,-1.0,"['perogol', 'itu', 'dijatuhi', 'hukuman', 'berat', '.']"
Ambil sajalah semualah.,pronoun/determiner,neutral,0.0,"['ambil', 'sajalah', 'semualah', '.']"
Jangan main api kecik2.,adjective,neutral,0.0,"['jangan', 'main', 'api', 'kecik2', '.']"
"Jangan jadi bangang, fikirkan akibatnya.",adjective,negative,-0.8,"['jangan', 'jadi', 'bangang', ',', 'fikirkan', 'akibatnya', '.']"
Dia berniat untuk membantu mangsa banjir.,verb,neutral,0.0,"['dia', 'berniat', 'untuk', 'membantu', 'mangsa', 'banjir', '.']"
Kehidupan dibandaraya sangat sibuk.,adverb,neutral,0.0,"['kehidupan', 'dibandaraya', 'sangat', 'sibuk', '.']"
Kisah pengembaraannya sangat menarik.,noun,neutral,0.0,"['kisah', 'pengembaraannya', 'sangat', 'menarik', '.']"
Awak mahu kopi atau teh?,conjunction,neutral,0.0,"['awak', 'mahu', 'kopi', 'atau', 'teh', '?']"
Gadis itu dikatakan dirasuk syaitan.,verb / noun,negative,-0.3,"['gadis', 'itu', 'dikatakan', 'dirasuk', 'syaitan', '.']"
Salam sejahtera kepada semua.,interjection / noun,positive,0.7,"['salam', 'sejahtera', 'kepada', 'semua', '.']"
Dia asyik ulng2 soalan yang sama.,verb,neutral,0.0,"['dia', 'asyik', 'ulng2', 'soalan', 'yang', 'sama', '.']"
Mak saya sedang memasak di dapur.,noun,positive,0.5,"['mak', 'saya', 'sedang', 'memasak', 'di', 'dapur', '.']"
