tokens,partOfSpeech,sentimentTag,sentimentStrength,overallSentenceTag,overallSentenceStrength
"['ramai', 'orng', 'berkumpul', 'di', 'dataran', '.']","['adjective', 'noun', 'unknown', 'preposition', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['penjarakan', 'sosial', 'penting', 'untuk', 'membendung', 'wabak', '.']","['verb', 'unknown', 'adjective', 'preposition', 'unknown', 'unknown', 'unknown']","['neutral', 'unknown', 'positive', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['jangan', 'sentuh', 'barang', 'itu', '.']","['particle', 'unknown', 'noun', 'demonstrative pronoun', 'unknown']","['neutral', 'unknown', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'bru', 'sampai', 'dari', 'perjalanan', '.']","['pronoun', 'adjective', 'verb', 'preposition', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['janganlah', 'jadi', 'bingai', ',', 'gunakan', 'akal', '.']","['unknown', 'verb / conjunction', 'adjective', 'punctuation', 'unknown', 'unknown', 'unknown']","['unknown', 'neutral', 'negative', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, -0.7, 0.0, 0.0, 0.0, 0.0]",negative,-0.7
"['makanan', 'ini', 'sangat', 'enak', '.']","['noun', 'demonstrative pronoun', 'adverb', 'adjective', 'unknown']","['neutral', 'neutral', 'neutral', 'positive', 'unknown']","[0.0, 0.0, 0.0, 0.7, 0.0]",positive,0.7
"['saya', 'tiada', 'masa', ',', 'so', 'saya', 'tak', 'dapat', 'ikut', '.']","['pronoun', 'adverb', 'noun', 'punctuation', 'conjunction', 'pronoun', 'adverb (negation)', 'verb', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'positive', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",neutral,0.0
"['dia', 'sepatut', 'datang', 'lebih', 'awal', '.']","['pronoun', 'adverb', 'verb', 'adverb', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['ada', 'bunyi', 'aneh', 'dari', 'luar', '.']","['verb', 'noun', 'adjective', 'preposition', 'adverb', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kes', 'itu', 'akan', 'dibawa', 'ke', 'mahkamah', 'esok', '.']","['noun', 'demonstrative pronoun', 'auxiliary verb', 'unknown', 'particle (interrogative)', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['baju', 'tu.kalo', 'awak', 'suka', '.']","['unknown', 'unknown', 'unknown', 'verb', 'unknown']","['unknown', 'unknown', 'unknown', 'positive', 'unknown']","[0.0, 0.0, 0.0, 0.7, 0.0]",neutral,0.0
"['dia', 'bukan', 'seorang', 'penakut', '.']","['pronoun', 'particle', 'unknown', 'adjective', 'unknown']","['neutral', 'neutral', 'unknown', 'negative', 'unknown']","[0.0, 0.0, 0.0, -0.6, 0.0]",negative,-0.6
"['klw', 'dia', 'datang', ',', 'beritahu', 'saya', '.']","['conjunction', 'pronoun', 'verb', 'punctuation', 'verb', 'pronoun', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['benda', 'itu', 'ada', 'di', 'atas', 'meja', '.']","['noun', 'demonstrative pronoun', 'verb', 'preposition', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['buku', 'itu', 'ada', 'dlm', 'beg', '.']","['unknown', 'demonstrative pronoun', 'verb', 'preposition', 'unknown', 'unknown']","['unknown', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['berikan', 'satu', 'cth', 'ayat', 'yang', 'mudah', '.']","['unknown', 'numeral', 'noun', 'unknown', 'pronoun, conjunction', 'adjective', 'unknown']","['unknown', 'neutral', 'neutral', 'unknown', 'neutral', 'positive', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0]",neutral,0.0
"['penyamun', 'itu', 'ditangkap', 'polis', 'semalam', '.']","['noun', 'demonstrative pronoun', 'unknown', 'noun', 'unknown', 'unknown']","['negative', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[-0.9, 0.0, 0.0, 0.0, 0.0, 0.0]",negative,-0.8
"['dia', 'bercakap', 'sprti', 'tiada', 'apa', 'yang', 'berlaku', '.']","['pronoun', 'unknown', 'preposition', 'adverb', 'pronoun', 'pronoun, conjunction', 'verb', 'unknown']","['neutral', 'unknown', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'disabitkan', 'dengan', 'kesalahan', 'mencuri', '.']","['pronoun', 'verb', 'preposition', 'unknown', 'verb', 'unknown']","['neutral', 'negative', 'neutral', 'unknown', 'negative', 'unknown']","[0.0, -0.6, 0.0, 0.0, -0.9, 0.0]",negative,-0.6
"['jaga', 'hati', 'orang', 'lain', '.']","['unknown', 'noun', 'noun', 'adjective', 'unknown']","['unknown', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kami', 'sampai', 'ke', 'destinasi', 'tepat', 'pada', 'masanya', '.']","['unknown', 'verb', 'particle (interrogative)', 'unknown', 'adjective', 'preposition', 'unknown', 'unknown']","['unknown', 'neutral', 'neutral', 'unknown', 'positive', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'membuat', 'kek', 'hari', 'jadi', 'untuk', 'adiknya', '.']","['pronoun', 'verb', 'unknown', 'noun', 'verb / conjunction', 'preposition', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['buah', 'limau', 'itu', 'sangat', 'masam', '.']","['unknown', 'unknown', 'demonstrative pronoun', 'adverb', 'adjective', 'unknown']","['unknown', 'unknown', 'neutral', 'neutral', 'negative', 'unknown']","[0.0, 0.0, 0.0, 0.0, -0.5, 0.0]",negative,-0.5
"['dia', 'memulas', 'tombol', 'pintu', 'untuk', 'membukanya', '.']","['pronoun', 'unknown', 'unknown', 'noun', 'preposition', 'unknown', 'unknown']","['neutral', 'unknown', 'unknown', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['presiden', 'negara', 'itu', 'telah', 'berucap', 'semalam', '.']","['noun', 'noun', 'demonstrative pronoun', 'unknown', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['andainya', 'dia', 'datang', ',', 'beritahu', 'saya', '.']","['conjunction', 'pronoun', 'verb', 'punctuation', 'verb', 'pronoun', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['x', 'pe', 'lah', ',', 'saya', 'boleh', 'buat', 'sendiri', '.']","['particle', 'unknown', 'particle', 'punctuation', 'pronoun', 'modal verb', 'kata kerja', 'adjective', 'unknown']","['neutral', 'unknown', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['sy', 'akan', 'pergi', 'ke', 'sana', 'esok', '.']","['pronoun', 'auxiliary verb', 'verb', 'particle (interrogative)', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'n', 'saya', 'akan', 'datang', '.']","['pronoun', 'conjunction', 'pronoun', 'auxiliary verb', 'verb', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['belok', 'ke', 'kanan', 'di', 'persimpangan', 'itu', '.']","['unknown', 'particle (interrogative)', 'adjective', 'preposition', 'unknown', 'demonstrative pronoun', 'unknown']","['unknown', 'neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['tu.klu', 'dia', 'nak', 'datang', ',', 'bagitahu', 'saya', '.']","['unknown', 'pronoun', 'auxiliary verb', 'verb', 'punctuation', 'unknown', 'pronoun', 'unknown']","['unknown', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['patutnya', 'dia', 'sudah', 'sampai', 'sekarang', '.']","['adverb', 'pronoun', 'adverb', 'verb', 'adverb', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['mereka', 'membina', 'pagar', 'di', 'sempadan', '.']","['pronoun', 'unknown', 'unknown', 'preposition', 'noun', 'unknown']","['neutral', 'unknown', 'unknown', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['sbab', 'dia', 'lambat', ',', 'kami', 'terpaksa', 'tunggu', '.']","['conjunction', 'pronoun', 'unknown', 'punctuation', 'unknown', 'verb', 'verb', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'negative', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, -0.5, 0.0, 0.0]",neutral,0.0
"['dia', 'menaiki', 'metro', 'ke', 'tempat', 'kerja', '.']","['pronoun', 'unknown', 'noun', 'particle (interrogative)', 'noun', 'verb', 'unknown']","['neutral', 'unknown', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['awak', 'ok', '?']","['unknown', 'unknown', 'punctuation']","['unknown', 'unknown', 'neutral']","[0.0, 0.0, 0.0]",neutral,0.0
"['ramai', 'netizen', 'meluahkan', 'rasa', 'tidak', 'puas', 'hati', '.']","['adjective', 'noun', 'unknown', 'verb', 'adverb', 'adjective', 'noun', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'positive', 'neutral', 'unknown']","[0.1, 0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0]",neutral,0.0
"['scene', 'itu', 'sangat', 'menyentuh', 'hati', '.']","['noun', 'demonstrative pronoun', 'adverb', 'unknown', 'noun', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['klakson', 'keretanya', 'sangat', 'kuat', '.']","['noun', 'noun', 'adverb', 'adjective', 'unknown']","['neutral', 'neutral', 'neutral', 'positive', 'unknown']","[0.0, 0.0, 0.0, 0.6, 0.0]",neutral,0.0
"['pihak', 'polis', 'berusaha', 'mengamankan', 'kawasan', 'itu', '.']","['noun', 'noun', 'verb', 'verb', 'unknown', 'demonstrative pronoun', 'unknown']","['neutral', 'neutral', 'positive', 'positive', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.7, 0.7, 0.0, 0.0, 0.0]",positive,0.7
"['kita', 'perlu', 'pergi', 'sekarang', '.']","['pronoun', 'verb/adjective', 'verb', 'adverb', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['makanan', 'sudah', 'habis', '.']","['noun', 'adverb', 'verb', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'duduk', 'di', 'atas', 'punggung', '.']","['pronoun', 'verb', 'preposition', 'unknown', 'noun', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['makanan', 'itu', 'terlalu', 'pedas', '.']","['noun', 'demonstrative pronoun', 'adverb', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'malas', 'untuk', 'bekerja', 'hari', 'ini', '.']","['pronoun', 'unknown', 'preposition', 'unknown', 'noun', 'demonstrative pronoun', 'unknown']","['neutral', 'unknown', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",negative,-0.7
"['dia', 'bakar', 'sampah', 'di', 'belakang', 'rumah', '.']","['pronoun', 'verb', 'unknown', 'preposition', 'noun / adverb', 'noun', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['pihak', 'berkuasa', 'telah', 'mengambil', 'tindakan', '.']","['noun', 'verb', 'unknown', 'verb', 'noun', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['mereka', 'sedang', 'menyiasat', 'punca', 'kejadian', 'itu', '.']","['pronoun', 'unknown', 'unknown', 'unknown', 'noun', 'demonstrative pronoun', 'unknown']","['neutral', 'unknown', 'unknown', 'unknown', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kalau', 'dia', 'datang', ',', 'beritahu', 'saya', '.']","['conjunction', 'pronoun', 'verb', 'punctuation', 'verb', 'pronoun', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['ini', 'adalah', 'percubaan', 'ke3', 'saya', '.']","['demonstrative pronoun', 'copula / verb', 'unknown', 'adjective', 'pronoun', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['saya', 'akan', 'call', 'awak', 'nanti', '.']","['pronoun', 'auxiliary verb', 'verb', 'unknown', 'adverb', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['tulh', 'pasal', 'dia', 'tak', 'datang', '.']","['demonstrative pronoun', 'preposition', 'pronoun', 'adverb (negation)', 'verb', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['jangan', 'terlalu', 'bergantung', 'pada', 'orglain', '.']","['particle', 'adverb', 'verb', 'preposition', 'noun phrase', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kalau', 'buat', 'ceni', ',', 'mesti', 'cepat', 'siap', '.']","['conjunction', 'kata kerja', 'adverb', 'punctuation', 'modal verb', 'adjective, adverb', 'adjective', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0]",neutral,0.0
"['jangan', 'habisin', 'semua', 'makanan', 'itu', '.']","['particle', 'verb', 'quantifier / pronoun', 'noun', 'demonstrative pronoun', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kakeknya', 'seorang', 'petani', '.']","['noun', 'unknown', 'unknown', 'unknown']","['neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['those', 'are', 'my', 'friends', '.']","['demonstrative pronoun', 'unknown', 'unknown', 'unknown', 'unknown']","['neutral', 'unknown', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['the', 'book', 'is', 'in', 'the', 'bag', '.']","['penentu (English)', 'unknown', 'verb', 'preposition', 'penentu (English)', 'unknown', 'unknown']","['neutral', 'unknown', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kita', 'digalakkan', 'untuk', 'bersedekah', '.']","['pronoun', 'unknown', 'preposition', 'unknown', 'unknown']","['neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",positive,0.8
"['penangkapan', 'suspek', 'berlaku', 'semalam', '.']","['noun', 'noun', 'verb', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, -0.2, 0.0, 0.0, 0.0]",neutral,0.0
"['jangan', 'jadi', 'orang', 'bodoh', '.']","['particle', 'verb / conjunction', 'noun', 'adjective', 'unknown']","['neutral', 'neutral', 'neutral', 'negative', 'unknown']","[0.0, 0.0, 0.0, -0.8, 0.0]",negative,-0.9
"['sila', 'reverse', 'kereta', 'anda', '.']","['unknown', 'verb', 'kata nama', 'pronoun', 'unknown']","['unknown', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['jangan', 'menyusah', 'orang', 'lain', '.']","['particle', 'verb', 'noun', 'adjective', 'unknown']","['neutral', 'negative', 'neutral', 'neutral', 'unknown']","[0.0, -0.6, 0.0, 0.0, 0.0]",negative,-0.6
"['dia', 'menerima', 'hukuman', 'yang', 'berat', '.']","['pronoun', 'unknown', 'noun', 'pronoun, conjunction', 'adjective', 'unknown']","['neutral', 'unknown', 'negative', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, -0.7, 0.0, 0.0, 0.0]",negative,-0.7
"['dia', 'melawan', 'arus', 'air', '.']","['pronoun', 'verb', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['ini', 'bukan', 'buku', 'saya', '.']","['demonstrative pronoun', 'particle', 'unknown', 'pronoun', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'duduk', 'di', 'barisan', 'depan', '.']","['pronoun', 'verb', 'preposition', 'unknown', 'noun', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kita', 'perlu', 'mempertahankan', 'kedaulatan', 'negara', '.']","['pronoun', 'verb/adjective', 'verb', 'unknown', 'noun', 'unknown']","['neutral', 'neutral', 'positive', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.5, 0.0, 0.0, 0.0]",positive,0.5
"['dia', 'menghadapi', 'masalah', 'kewangan', 'yang', 'besar', '.']","['pronoun', 'unknown', 'noun', 'unknown', 'pronoun, conjunction', 'adjective', 'unknown']","['neutral', 'unknown', 'negative', 'unknown', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, -0.7, 0.0, 0.0, 0.0, 0.0]",negative,-0.7
"['kalau', 'hujan', ',', 'kami', 'tidak', 'akan', 'keluar', '.']","['conjunction', 'unknown', 'punctuation', 'unknown', 'adverb', 'auxiliary verb', 'verb', 'unknown']","['neutral', 'unknown', 'neutral', 'unknown', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'datang', 'sekali', 'lagi', '.', '/', 'pemandangan', 'itu', 'cantik', 'sekali', '.']","['pronoun', 'verb', 'adverb', 'adverb', 'unknown', 'unknown', 'unknown', 'demonstrative pronoun', 'unknown', 'adverb', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown', 'unknown', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['askar', 'itu', 'membawa', 'senjata', 'api', 'yang', 'canggih', '.']","['unknown', 'demonstrative pronoun', 'verb', 'noun', 'noun', 'pronoun, conjunction', 'unknown', 'unknown']","['unknown', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'menunjuk', 'ke', 'arah', 'gunung', 'yang', 'tinggi', '.']","['pronoun', 'unknown', 'particle (interrogative)', 'unknown', 'unknown', 'pronoun, conjunction', 'adjective', 'unknown']","['neutral', 'unknown', 'neutral', 'unknown', 'unknown', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['saya', 'takan', 'maafkan', 'dia', '.']","['pronoun', 'adverbial phrase', 'unknown', 'pronoun', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['pekan', 'langat', 'terkenal', 'dengan', 'pasar', 'malamnya', '.']","['unknown', 'proper noun', 'unknown', 'preposition', 'noun', 'unknown', 'unknown']","['unknown', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['saya', 'nak', 'makan', 'roti', 'je', '.']","['pronoun', 'auxiliary verb', 'verb', 'unknown', 'adverb', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['nasib', 'baik', 'dia', 'tidak', 'cedera', 'parah', '.']","['noun', 'adjective', 'pronoun', 'adverb', 'adjective/verb', 'adjective', 'unknown']","['neutral', 'positive', 'neutral', 'neutral', 'negative', 'negative', 'unknown']","[0.0, 0.8, 0.0, 0.0, -0.6, -0.8, 0.0]",neutral,0.0
"['dia', 'simpan', 'wang', 'di', 'dalam', 'bank', '.']","['pronoun', 'verb', 'unknown', 'preposition', 'preposition', 'noun', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'campur', 'semua', 'bahan', 'untuk', 'membuat', 'kek', '.']","['pronoun', 'verb', 'quantifier / pronoun', 'unknown', 'preposition', 'verb', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['keadaan', 'pesakit', 'itu', 'sangat', 'parah', '.']","['noun', 'unknown', 'demonstrative pronoun', 'adverb', 'adjective', 'unknown']","['neutral', 'unknown', 'neutral', 'neutral', 'negative', 'unknown']","[0.0, 0.0, 0.0, 0.0, -0.8, 0.0]",negative,-0.8
"['bodohnya', 'dia', 'percaya', 'kata', '-', 'kata', 'penipu', 'itu', '.']","['adjective', 'pronoun', 'unknown', 'unknown', 'punctuation', 'unknown', 'unknown', 'demonstrative pronoun', 'unknown']","['negative', 'neutral', 'unknown', 'unknown', 'neutral', 'unknown', 'unknown', 'neutral', 'unknown']","[-0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",negative,-0.9
"['dia', 'guna', 'pisau', 'untuk', 'memotong', 'buah', '.']","['pronoun', 'verb', 'noun', 'preposition', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'tanya', 'saya', 'tentang', 'jadual', 'mesyuarat', '.']","['pronoun', 'verb', 'pronoun', 'unknown', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['penjenayah', 'itu', 'didakwa', 'cuba', 'membunuh', 'mangsanya', '.']","['noun', 'demonstrative pronoun', 'unknown', 'verb', 'verb', 'unknown', 'unknown']","['negative', 'neutral', 'unknown', 'neutral', 'negative', 'unknown', 'unknown']","[-0.8, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0]",negative,-1.0
"['dia', 'memang', 'pandai', 'dalam', 'pelajaran', '.']","['pronoun', 'adverb', 'adjective', 'preposition', 'unknown', 'unknown']","['neutral', 'neutral', 'positive', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.7, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'tidak', 'faham', 'langsung', 'apa', 'yang', 'saya', 'katakan', '.']","['pronoun', 'adverb', 'verb / adjective', 'adverb', 'pronoun', 'pronoun, conjunction', 'pronoun', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'terkena', 'selesema', 'teruk', '.']","['pronoun', 'verb', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'makan', 'nasi', ',', 'pastu', 'dia', 'tidur', '.']","['pronoun', 'verb', 'unknown', 'punctuation', 'adverbial phrase', 'pronoun', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'mahu', 'makan', 'lagi', '.']","['pronoun', 'verb', 'verb', 'adverb', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
